MODEL,SV15x1
TYPE,Irradiance
Number of datasets,1
Operator,
Memo,
Start Wavelength [nm],380
End Wavelength [nm],780
Number of points,401

Name,
Correction,
Integration Time [ms],110.500
Date,04/27/2023
Time,11:10:57am

Illuminance [lx],1451
Irradiance [W/sqm],7.257
x,0.3340
y,0.3098
u',0.2209
v',0.4609
CCT [K],5396
Duv,-0.018
DWl [nm],-553.0
PE [nm],9.4

CRI,
Ra,80.32
dc,0.02090
Re14,75.48
Re15,75.16
R1,75.20
R2,77.94
R3,87.19
R4,83.99
R5,76.42
R6,72.33
R7,87.62
R8,81.90
R9,45.12
R10,57.41
R11,82.50
R12,60.89
R13,73.63
R14,94.64
R15,70.65

RGB Values,
R,1976.95
G,1275.07
B,1557.37

Wavelength [nm],Spectral Irradiance [W/sqm*nm]
380,1.107103E-02
381,1.359433E-02
382,1.691746E-02
383,2.017505E-02
384,2.336858E-02
385,2.604815E-02
386,2.845969E-02
387,2.765692E-02
388,2.610368E-02
389,2.318340E-02
390,2.006734E-02
391,1.701095E-02
392,1.496729E-02
393,1.341125E-02
394,1.250933E-02
395,1.233013E-02
396,1.241778E-02
397,1.277285E-02
398,1.332364E-02
399,1.411628E-02
400,1.538321E-02
401,1.686353E-02
402,1.890520E-02
403,2.137281E-02
404,2.426122E-02
405,2.796666E-02
406,3.176660E-02
407,3.554611E-02
408,3.785607E-02
409,3.900650E-02
410,3.697881E-02
411,3.399046E-02
412,2.910628E-02
413,2.434117E-02
414,1.965711E-02
415,1.647198E-02
416,1.386516E-02
417,1.228516E-02
418,1.121018E-02
419,1.037106E-02
420,9.653944E-03
421,8.876735E-03
422,8.011948E-03
423,7.094909E-03
424,6.158481E-03
425,5.245969E-03
426,4.533483E-03
427,4.026588E-03
428,3.732647E-03
429,3.516181E-03
430,3.460471E-03
431,3.473197E-03
432,3.539840E-03
433,3.750751E-03
434,3.995111E-03
435,4.307921E-03
436,4.647947E-03
437,5.002781E-03
438,5.542763E-03
439,6.161095E-03
440,6.949069E-03
441,7.929653E-03
442,8.991402E-03
443,1.044720E-02
444,1.214863E-02
445,1.425463E-02
446,1.675668E-02
447,1.938009E-02
448,2.253398E-02
449,2.590695E-02
450,2.959140E-02
451,3.287037E-02
452,3.581959E-02
453,3.797197E-02
454,3.939514E-02
455,4.018140E-02
456,3.978901E-02
457,3.905056E-02
458,3.771472E-02
459,3.644665E-02
460,3.523906E-02
461,3.495781E-02
462,3.501639E-02
463,3.568766E-02
464,3.683387E-02
465,3.820689E-02
466,4.010756E-02
467,4.193911E-02
468,4.369190E-02
469,4.501174E-02
470,4.608223E-02
471,4.625002E-02
472,4.583511E-02
473,4.472175E-02
474,4.282456E-02
475,4.063768E-02
476,3.793116E-02
477,3.522424E-02
478,3.253041E-02
479,3.010659E-02
480,2.790712E-02
481,2.613006E-02
482,2.466344E-02
483,2.337823E-02
484,2.241341E-02
485,2.155572E-02
486,2.092074E-02
487,2.031345E-02
488,1.971282E-02
489,1.897321E-02
490,1.828422E-02
491,1.767763E-02
492,1.707899E-02
493,1.649512E-02
494,1.606540E-02
495,1.566268E-02
496,1.529276E-02
497,1.502160E-02
498,1.478965E-02
499,1.465358E-02
500,1.461741E-02
501,1.466707E-02
502,1.476354E-02
503,1.486760E-02
504,1.498254E-02
505,1.511922E-02
506,1.526700E-02
507,1.550170E-02
508,1.575239E-02
509,1.602927E-02
510,1.625540E-02
511,1.647987E-02
512,1.682708E-02
513,1.715775E-02
514,1.746895E-02
515,1.770669E-02
516,1.794743E-02
517,1.826137E-02
518,1.853937E-02
519,1.878908E-02
520,1.913495E-02
521,1.942175E-02
522,1.955774E-02
523,1.972008E-02
524,1.988829E-02
525,1.996424E-02
526,2.001589E-02
527,2.002814E-02
528,1.991760E-02
529,1.979166E-02
530,1.977080E-02
531,1.968295E-02
532,1.953792E-02
533,1.933879E-02
534,1.911287E-02
535,1.882604E-02
536,1.862145E-02
537,1.846181E-02
538,1.828511E-02
539,1.812138E-02
540,1.797733E-02
541,1.781741E-02
542,1.766595E-02
543,1.757421E-02
544,1.749127E-02
545,1.741874E-02
546,1.732879E-02
547,1.725052E-02
548,1.721416E-02
549,1.715273E-02
550,1.707750E-02
551,1.711614E-02
552,1.712056E-02
553,1.706199E-02
554,1.706594E-02
555,1.709356E-02
556,1.713587E-02
557,1.715024E-02
558,1.713298E-02
559,1.721404E-02
560,1.730060E-02
561,1.735043E-02
562,1.739299E-02
563,1.743111E-02
564,1.757110E-02
565,1.767208E-02
566,1.770335E-02
567,1.778033E-02
568,1.787632E-02
569,1.800705E-02
570,1.816742E-02
571,1.835455E-02
572,1.843737E-02
573,1.853637E-02
574,1.872334E-02
575,1.882669E-02
576,1.888357E-02
577,1.911824E-02
578,1.932625E-02
579,1.949291E-02
580,1.967110E-02
581,1.984100E-02
582,1.996467E-02
583,2.014577E-02
584,2.037796E-02
585,2.051708E-02
586,2.066623E-02
587,2.085995E-02
588,2.107545E-02
589,2.129961E-02
590,2.150686E-02
591,2.165940E-02
592,2.175136E-02
593,2.199481E-02
594,2.225891E-02
595,2.245875E-02
596,2.262304E-02
597,2.276413E-02
598,2.297256E-02
599,2.316101E-02
600,2.331452E-02
601,2.348568E-02
602,2.365618E-02
603,2.373488E-02
604,2.387002E-02
605,2.405526E-02
606,2.421823E-02
607,2.436536E-02
608,2.447474E-02
609,2.459840E-02
610,2.473227E-02
611,2.483354E-02
612,2.492056E-02
613,2.498643E-02
614,2.506292E-02
615,2.512465E-02
616,2.513002E-02
617,2.515009E-02
618,2.518289E-02
619,2.514617E-02
620,2.512466E-02
621,2.513140E-02
622,2.514326E-02
623,2.513874E-02
624,2.505196E-02
625,2.499408E-02
626,2.496250E-02
627,2.486229E-02
628,2.476904E-02
629,2.470415E-02
630,2.455337E-02
631,2.437662E-02
632,2.432081E-02
633,2.421829E-02
634,2.406749E-02
635,2.385984E-02
636,2.367116E-02
637,2.354806E-02
638,2.336206E-02
639,2.314813E-02
640,2.298912E-02
641,2.283298E-02
642,2.267669E-02
643,2.240282E-02
644,2.213823E-02
645,2.196384E-02
646,2.169776E-02
647,2.138560E-02
648,2.119369E-02
649,2.096443E-02
650,2.068838E-02
651,2.048892E-02
652,2.027548E-02
653,1.994563E-02
654,1.966752E-02
655,1.942397E-02
656,1.914730E-02
657,1.887356E-02
658,1.860349E-02
659,1.835629E-02
660,1.810489E-02
661,1.780282E-02
662,1.749152E-02
663,1.717504E-02
664,1.691293E-02
665,1.664133E-02
666,1.634915E-02
667,1.606502E-02
668,1.578583E-02
669,1.552238E-02
670,1.522963E-02
671,1.490828E-02
672,1.472245E-02
673,1.451195E-02
674,1.424211E-02
675,1.397686E-02
676,1.372157E-02
677,1.351192E-02
678,1.326282E-02
679,1.298415E-02
680,1.276228E-02
681,1.254955E-02
682,1.235210E-02
683,1.212405E-02
684,1.189488E-02
685,1.171856E-02
686,1.158398E-02
687,1.148333E-02
688,1.133278E-02
689,1.120477E-02
690,1.112196E-02
691,1.100622E-02
692,1.089026E-02
693,1.083406E-02
694,1.077252E-02
695,1.070628E-02
696,1.069837E-02
697,1.068785E-02
698,1.066816E-02
699,1.069990E-02
700,1.075370E-02
701,1.084315E-02
702,1.093259E-02
703,1.102126E-02
704,1.117068E-02
705,1.135519E-02
706,1.160355E-02
707,1.183492E-02
708,1.207084E-02
709,1.238024E-02
710,1.269154E-02
711,1.300267E-02
712,1.337491E-02
713,1.377209E-02
714,1.420689E-02
715,1.458002E-02
716,1.495538E-02
717,1.537980E-02
718,1.584218E-02
719,1.632539E-02
720,1.682661E-02
721,1.735728E-02
722,1.791477E-02
723,1.855619E-02
724,1.923950E-02
725,1.998303E-02
726,2.079983E-02
727,2.167041E-02
728,2.265111E-02
729,2.362614E-02
730,2.459446E-02
731,2.537950E-02
