Wavelength,Reflectance
400,0.046446
401,0.037785
402,0.02964
403,0.035243
404,0.049163
405,0.031887
406,0.021561
407,0.037341
408,0.03499
409,0.021332
410,0.025696
411,0.030316
412,0.030229
413,0.023547
414,0.008756
415,0.024828
416,0.037008
417,0.028997
418,0.021141
419,0.014339
420,0.034028
421,0.032381
422,0.0
423,0.0
424,0.021697
425,0.043837
426,0.04668
427,0.01784
428,0.0
429,0.0
430,0.0
431,0.028002
432,0.070764
433,0.037608
434,0.006381
435,0.0
436,0.004669
437,0.020979
438,0.020641
439,0.017275
440,0.00982
441,0.0
442,0.0
443,0.001667
444,0.004753
445,0.0
446,0.000185
447,0.008771
448,0.015513
449,0.010955
450,0.0
451,0.004985
452,0.01292
453,0.013824
454,0.011862
455,0.007594
456,0.010844
457,0.013711
458,0.012109
459,0.018693
460,0.031025
461,0.019415
462,0.012021
463,0.016745
464,0.013228
465,0.006414
466,0.00613
467,0.009045
468,0.01654
469,0.016877
470,0.01538
471,0.017716
472,0.02115
473,0.026057
474,0.02818
475,0.029977
476,0.032898
477,0.035636
478,0.038239
479,0.040019
480,0.041848
481,0.04369
482,0.044418
483,0.044327
484,0.052369
485,0.056901
486,0.052436
487,0.053167
488,0.056698
489,0.064236
490,0.067209
491,0.062546
492,0.067482
493,0.073795
494,0.064621
495,0.061883
496,0.066829
497,0.061356
498,0.057106
499,0.066866
500,0.064177
501,0.051367
502,0.054318
503,0.058409
504,0.061981
505,0.06398
506,0.065069
507,0.053013
508,0.045437
509,0.045415
510,0.044653
511,0.043343
512,0.039456
513,0.032601
514,0.022441
515,0.025013
516,0.029133
517,0.030427
518,0.036963
519,0.047352
520,0.027696
521,0.020369
522,0.044073
523,0.041687
524,0.028188
525,0.032107
526,0.033062
527,0.029905
528,0.046518
529,0.063009
530,0.049728
531,0.040709
532,0.03578
533,0.033781
534,0.033723
535,0.038066
536,0.04008
537,0.040773
538,0.04147
539,0.042585
540,0.044375
541,0.03947
542,0.033615
543,0.036866
544,0.039392
545,0.041173
546,0.044914
547,0.048998
548,0.053291
549,0.05849
550,0.064165
551,0.061095
552,0.065735
553,0.083507
554,0.088324
555,0.089116
556,0.093237
557,0.104647
558,0.123345
559,0.128266
560,0.135361
561,0.156092
562,0.17692
563,0.197205
564,0.209952
565,0.227649
566,0.253443
567,0.27848
568,0.301594
569,0.317916
570,0.341903
571,0.373236
572,0.401875
573,0.427759
574,0.449905
575,0.480159
576,0.513677
577,0.543794
578,0.571205
579,0.595218
580,0.62643
581,0.658157
582,0.68607
583,0.712324
584,0.737682
585,0.764092
586,0.788957
587,0.812508
588,0.833897
589,0.853929
590,0.878276
591,0.901021
592,0.921337
593,0.937018
594,0.951248
595,0.963762
596,0.980527
597,1.000063
598,1.01549
599,1.027744
600,1.034472
601,1.050084
602,1.067982
603,1.079629
604,1.087775
605,1.092765
606,1.106193
607,1.118603
608,1.125449
609,1.132315
610,1.139338
611,1.147578
612,1.155569
613,1.163302
614,1.172995
615,1.180097
616,1.175726
617,1.177327
618,1.182969
619,1.18791
620,1.189244
621,1.1846
622,1.185459
623,1.187568
624,1.187202
625,1.18544
626,1.18245
627,1.187635
628,1.187232
629,1.17392
630,1.166655
631,1.162787
632,1.167103
633,1.163204
634,1.150928
635,1.148118
636,1.145569
637,1.140778
638,1.1318
639,1.121521
640,1.121755
641,1.117981
642,1.109409
643,1.105923
644,1.103024
645,1.099272
646,1.089885
647,1.077919
648,1.078879
649,1.07719
650,1.071794
651,1.074536
652,1.076029
653,1.065214
654,1.060308
655,1.059242
656,1.056625
657,1.056092
658,1.058962
659,1.051514
660,1.043663
661,1.047877
662,1.049929
663,1.050318
664,1.052916
665,1.054192
666,1.052933
667,1.051292
668,1.049668
669,1.048921
670,1.052769
671,1.060582
672,1.054268
673,1.052242
674,1.059769
675,1.063523
676,1.065298
677,1.062796
678,1.060757
679,1.059135
680,1.06368
681,1.06568
682,1.061823
683,1.06462
684,1.068899
685,1.068433
686,1.067666
687,1.066614
688,1.057188
689,1.052033
690,1.055994
691,1.047486
692,1.037323
693,1.041176
694,1.039258
695,1.032699
696,1.034017
697,1.032479
698,1.025192
699,1.018276
700,1.01195
