Wavelength,Reflectance
380,0.105036
385,0.053747
390,0.066328
395,0.074269
400,0.046446
405,0.031887
410,0.025696
415,0.024828
420,0.034028
425,0.043837
430,0.0
435,0.0
440,0.00982
445,0.0
450,0.0
455,0.007594
460,0.031025
465,0.006414
470,0.01538
475,0.029977
480,0.041848
485,0.056901
490,0.067209
495,0.061883
500,0.064177
505,0.06398
510,0.044653
515,0.025013
520,0.027696
525,0.032107
530,0.049728
535,0.038066
540,0.044375
545,0.041173
550,0.064165
555,0.089116
560,0.135361
565,0.227649
570,0.341903
575,0.480159
580,0.62643
585,0.764092
590,0.878276
595,0.963762
600,1.034472
605,1.092765
610,1.139338
615,1.180097
620,1.189244
625,1.18544
630,1.166655
635,1.148118
640,1.121755
645,1.099272
650,1.071794
655,1.059242
660,1.043663
665,1.054192
670,1.052769
675,1.063523
680,1.06368
685,1.068433
690,1.055994
695,1.032699
700,1.01195
705,0.968298
710,0.926122
715,0.887285
720,0.850114
725,0.830816
730,0.808959
735,0.800947
740,0.826937
745,0.900629
750,0.970991
755,1.041965
760,1.084602
765,1.071146
770,0.988543
775,0.909045
780,0.935446
