MODEL,SV15x1
TYPE,Irradiance
Number of datasets,1
Operator,
Memo,
Start Wavelength [nm],380
End Wavelength [nm],780
Number of points,401

Name,
Correction,
Integration Time [ms],96.430
Date,04/27/2023
Time,11:11:55am

Illuminance [lx],1741
Irradiance [W/sqm],8.715
x,0.3459
y,0.3149
u',0.2273
v',0.4656
CCT [K],4796
Duv,-0.020
DWl [nm],-512.5
PE [nm],9.6

CRI,
Ra,79.54
dc,0.02022
Re14,74.57
Re15,74.27
R1,74.73
R2,77.08
R3,86.09
R4,84.07
R5,75.64
R6,70.73
R7,86.75
R8,81.22
R9,44.82
R10,55.40
R11,83.00
R12,57.40
R13,72.92
R14,94.17
R15,70.03

RGB Values,
R,2540.77
G,1489.72
B,1736.22

Wavelength [nm],Spectral Irradiance [W/sqm*nm]
380,1.157123E-02
381,1.427023E-02
382,1.780440E-02
383,2.125764E-02
384,2.462062E-02
385,2.746324E-02
386,3.003389E-02
387,2.917744E-02
388,2.757299E-02
389,2.460381E-02
390,2.143463E-02
391,1.832080E-02
392,1.608283E-02
393,1.442197E-02
394,1.354028E-02
395,1.332921E-02
396,1.337721E-02
397,1.376789E-02
398,1.442078E-02
399,1.539510E-02
400,1.680036E-02
401,1.842173E-02
402,2.067967E-02
403,2.344174E-02
404,2.670068E-02
405,3.067573E-02
406,3.480492E-02
407,3.921427E-02
408,4.180320E-02
409,4.296017E-02
410,4.094886E-02
411,3.781919E-02
412,3.236355E-02
413,2.701399E-02
414,2.173948E-02
415,1.829764E-02
416,1.547448E-02
417,1.374087E-02
418,1.254942E-02
419,1.160844E-02
420,1.073815E-02
421,9.856102E-03
422,8.958875E-03
423,7.946055E-03
424,6.899961E-03
425,5.929883E-03
426,5.130440E-03
427,4.502598E-03
428,4.178389E-03
429,3.956179E-03
430,3.920736E-03
431,3.934737E-03
432,3.986252E-03
433,4.185700E-03
434,4.432636E-03
435,4.784404E-03
436,5.193039E-03
437,5.633916E-03
438,6.202035E-03
439,6.870788E-03
440,7.760758E-03
441,8.859706E-03
442,1.004676E-02
443,1.168519E-02
444,1.358366E-02
445,1.591271E-02
446,1.872801E-02
447,2.169789E-02
448,2.530789E-02
449,2.905030E-02
450,3.301336E-02
451,3.664689E-02
452,3.996603E-02
453,4.252129E-02
454,4.413179E-02
455,4.491748E-02
456,4.456546E-02
457,4.383635E-02
458,4.239947E-02
459,4.104604E-02
460,3.976489E-02
461,3.939487E-02
462,3.939764E-02
463,4.008170E-02
464,4.137270E-02
465,4.295264E-02
466,4.507837E-02
467,4.715025E-02
468,4.917125E-02
469,5.072525E-02
470,5.200102E-02
471,5.222097E-02
472,5.174915E-02
473,5.044899E-02
474,4.838005E-02
475,4.599203E-02
476,4.293052E-02
477,3.985198E-02
478,3.677428E-02
479,3.404951E-02
480,3.156354E-02
481,2.949678E-02
482,2.781509E-02
483,2.635988E-02
484,2.536232E-02
485,2.441932E-02
486,2.358438E-02
487,2.289635E-02
488,2.226834E-02
489,2.148074E-02
490,2.073002E-02
491,2.004187E-02
492,1.939124E-02
493,1.874948E-02
494,1.815900E-02
495,1.767472E-02
496,1.730872E-02
497,1.700847E-02
498,1.676594E-02
499,1.672081E-02
500,1.667120E-02
501,1.662412E-02
502,1.676077E-02
503,1.692490E-02
504,1.712026E-02
505,1.736062E-02
506,1.762426E-02
507,1.786553E-02
508,1.811294E-02
509,1.836937E-02
510,1.863835E-02
511,1.892680E-02
512,1.930787E-02
513,1.967777E-02
514,2.003421E-02
515,2.040351E-02
516,2.077417E-02
517,2.114599E-02
518,2.148540E-02
519,2.179912E-02
520,2.209892E-02
521,2.240217E-02
522,2.271114E-02
523,2.292979E-02
524,2.310228E-02
525,2.326422E-02
526,2.335793E-02
527,2.334984E-02
528,2.324126E-02
529,2.312227E-02
530,2.310121E-02
531,2.297922E-02
532,2.277023E-02
533,2.260878E-02
534,2.242336E-02
535,2.215424E-02
536,2.191816E-02
537,2.169898E-02
538,2.142473E-02
539,2.121265E-02
540,2.109940E-02
541,2.096458E-02
542,2.082909E-02
543,2.069883E-02
544,2.057611E-02
545,2.046297E-02
546,2.042553E-02
547,2.038542E-02
548,2.030304E-02
549,2.024828E-02
550,2.021179E-02
551,2.018623E-02
552,2.015422E-02
553,2.010736E-02
554,2.013924E-02
555,2.018716E-02
556,2.014794E-02
557,2.012555E-02
558,2.011755E-02
559,2.015272E-02
560,2.023059E-02
561,2.041559E-02
562,2.049543E-02
563,2.051008E-02
564,2.058882E-02
565,2.068111E-02
566,2.079182E-02
567,2.090493E-02
568,2.102487E-02
569,2.119883E-02
570,2.136640E-02
571,2.152447E-02
572,2.174428E-02
573,2.196437E-02
574,2.216404E-02
575,2.232989E-02
576,2.247687E-02
577,2.278158E-02
578,2.305749E-02
579,2.328888E-02
580,2.356549E-02
581,2.384902E-02
582,2.411797E-02
583,2.439528E-02
584,2.468079E-02
585,2.501529E-02
586,2.531132E-02
587,2.550550E-02
588,2.582494E-02
589,2.619627E-02
590,2.645320E-02
591,2.670601E-02
592,2.696546E-02
593,2.733331E-02
594,2.771457E-02
595,2.803312E-02
596,2.832809E-02
597,2.860919E-02
598,2.881399E-02
599,2.906991E-02
600,2.942890E-02
601,2.966973E-02
602,2.987775E-02
603,3.009343E-02
604,3.031799E-02
605,3.054532E-02
606,3.074515E-02
607,3.093938E-02
608,3.112309E-02
609,3.129846E-02
610,3.147142E-02
611,3.156737E-02
612,3.171235E-02
613,3.191690E-02
614,3.196741E-02
615,3.199894E-02
616,3.209044E-02
617,3.216701E-02
618,3.223732E-02
619,3.224061E-02
620,3.223630E-02
621,3.222216E-02
622,3.219124E-02
623,3.214929E-02
624,3.209528E-02
625,3.204739E-02
626,3.200746E-02
627,3.192855E-02
628,3.183277E-02
629,3.171320E-02
630,3.163721E-02
631,3.155215E-02
632,3.131559E-02
633,3.111785E-02
634,3.095801E-02
635,3.082371E-02
636,3.063708E-02
637,3.030873E-02
638,3.009763E-02
639,2.993184E-02
640,2.963996E-02
641,2.937786E-02
642,2.914583E-02
643,2.886093E-02
644,2.859929E-02
645,2.843840E-02
646,2.814344E-02
647,2.777804E-02
648,2.751147E-02
649,2.722424E-02
650,2.691395E-02
651,2.664233E-02
652,2.636691E-02
653,2.604488E-02
654,2.568264E-02
655,2.529547E-02
656,2.492564E-02
657,2.456439E-02
658,2.421498E-02
659,2.385279E-02
660,2.348703E-02
661,2.311503E-02
662,2.276580E-02
663,2.243505E-02
664,2.205308E-02
665,2.168109E-02
666,2.132661E-02
667,2.100440E-02
668,2.067572E-02
669,2.026458E-02
670,1.991542E-02
671,1.960848E-02
672,1.925466E-02
673,1.889445E-02
674,1.852370E-02
675,1.818558E-02
676,1.786873E-02
677,1.760797E-02
678,1.729699E-02
679,1.694836E-02
680,1.670080E-02
681,1.644135E-02
682,1.615428E-02
683,1.587825E-02
684,1.561063E-02
685,1.537018E-02
686,1.514696E-02
687,1.493750E-02
688,1.478942E-02
689,1.462910E-02
690,1.443776E-02
691,1.429984E-02
692,1.418336E-02
693,1.408893E-02
694,1.402738E-02
695,1.399111E-02
696,1.393540E-02
697,1.388764E-02
698,1.385524E-02
699,1.393488E-02
700,1.404172E-02
701,1.410347E-02
702,1.421000E-02
703,1.435268E-02
704,1.455590E-02
705,1.478587E-02
706,1.506359E-02
707,1.542170E-02
708,1.579473E-02
709,1.608691E-02
710,1.647375E-02
711,1.693193E-02
712,1.744298E-02
713,1.795136E-02
714,1.845814E-02
715,1.893844E-02
716,1.945488E-02
717,2.010049E-02
718,2.070834E-02
719,2.130521E-02
720,2.195530E-02
721,2.264927E-02
722,2.338315E-02
723,2.416870E-02
724,2.503703E-02
725,2.603590E-02
726,2.715828E-02
727,2.832631E-02
728,2.952959E-02
729,3.079911E-02
730,3.210262E-02
731,3.316098E-02
