MODEL,SV15x1
TYPE,Irradiance
Number of datasets,1
Operator,
Memo,
Start Wavelength [nm],380
End Wavelength [nm],780
Number of points,401

Name,
Correction,
Integration Time [ms],69.110
Date,04/27/2023
Time,11:10:49am

Illuminance [lx],2307
Irradiance [W/sqm],11.4
x,0.3342
y,0.3113
u',0.2203
v',0.4618
CCT [K],5389
Duv,-0.017
DWl [nm],-552.6
PE [nm],8.8

CRI,
Ra,80.71
dc,0.02016
Re14,76.06
Re15,75.76
R1,75.84
R2,78.36
R3,87.22
R4,84.32
R5,77.03
R6,72.84
R7,87.48
R8,82.57
R9,47.43
R10,58.21
R11,83.04
R12,61.62
R13,74.24
R14,94.63
R15,71.58

RGB Values,
R,3122.33
G,2036.33
B,2449.01

Wavelength [nm],Spectral Irradiance [W/sqm*nm]
380,1.627219E-02
381,1.992414E-02
382,2.487281E-02
383,2.968581E-02
384,3.430722E-02
385,3.817910E-02
386,4.166022E-02
387,4.072731E-02
388,3.859947E-02
389,3.430901E-02
390,2.985824E-02
391,2.553164E-02
392,2.239395E-02
393,2.007938E-02
394,1.887766E-02
395,1.854069E-02
396,1.854408E-02
397,1.903557E-02
398,1.995890E-02
399,2.140730E-02
400,2.331149E-02
401,2.545532E-02
402,2.833299E-02
403,3.209475E-02
404,3.671827E-02
405,4.221534E-02
406,4.787017E-02
407,5.377457E-02
408,5.730054E-02
409,5.895327E-02
410,5.623551E-02
411,5.194138E-02
412,4.435071E-02
413,3.698900E-02
414,2.977882E-02
415,2.507354E-02
416,2.121995E-02
417,1.886742E-02
418,1.729104E-02
419,1.607195E-02
420,1.493989E-02
421,1.370646E-02
422,1.232565E-02
423,1.088425E-02
424,9.435864E-03
425,8.151276E-03
426,7.094814E-03
427,6.267883E-03
428,5.725531E-03
429,5.331523E-03
430,5.359464E-03
431,5.463503E-03
432,5.623690E-03
433,5.890956E-03
434,6.221354E-03
435,6.718263E-03
436,7.285123E-03
437,7.891351E-03
438,8.681762E-03
439,9.624797E-03
440,1.090133E-02
441,1.237900E-02
442,1.394509E-02
443,1.633270E-02
444,1.900443E-02
445,2.216065E-02
446,2.607911E-02
447,3.025527E-02
448,3.545477E-02
449,4.084757E-02
450,4.656112E-02
451,5.165751E-02
452,5.625777E-02
453,5.968491E-02
454,6.195176E-02
455,6.320528E-02
456,6.259068E-02
457,6.143449E-02
458,5.935323E-02
459,5.750235E-02
460,5.582602E-02
461,5.527433E-02
462,5.529836E-02
463,5.640986E-02
464,5.820413E-02
465,6.032835E-02
466,6.344871E-02
467,6.638002E-02
468,6.906228E-02
469,7.113749E-02
470,7.285188E-02
471,7.320027E-02
472,7.258632E-02
473,7.081982E-02
474,6.779393E-02
475,6.432579E-02
476,6.013119E-02
477,5.592253E-02
478,5.172289E-02
479,4.774659E-02
480,4.416289E-02
481,4.141789E-02
482,3.912235E-02
483,3.708759E-02
484,3.566366E-02
485,3.435896E-02
486,3.329557E-02
487,3.228330E-02
488,3.129337E-02
489,3.026086E-02
490,2.921847E-02
491,2.817111E-02
492,2.731796E-02
493,2.650961E-02
494,2.567723E-02
495,2.495367E-02
496,2.435308E-02
497,2.393091E-02
498,2.358795E-02
499,2.344918E-02
500,2.339985E-02
501,2.343112E-02
502,2.355826E-02
503,2.373221E-02
504,2.400592E-02
505,2.424243E-02
506,2.445825E-02
507,2.492469E-02
508,2.531873E-02
509,2.558004E-02
510,2.593314E-02
511,2.633952E-02
512,2.685915E-02
513,2.730289E-02
514,2.766063E-02
515,2.821112E-02
516,2.878170E-02
517,2.928990E-02
518,2.968780E-02
519,2.999984E-02
520,3.046569E-02
521,3.090921E-02
522,3.127356E-02
523,3.153507E-02
524,3.174117E-02
525,3.187649E-02
526,3.196277E-02
527,3.197180E-02
528,3.192356E-02
529,3.183256E-02
530,3.159214E-02
531,3.133600E-02
532,3.107094E-02
533,3.075338E-02
534,3.042953E-02
535,3.009734E-02
536,2.981903E-02
537,2.956853E-02
538,2.922052E-02
539,2.889897E-02
540,2.861802E-02
541,2.839471E-02
542,2.819693E-02
543,2.799143E-02
544,2.785588E-02
545,2.779160E-02
546,2.765486E-02
547,2.752210E-02
548,2.743149E-02
549,2.738467E-02
550,2.736630E-02
551,2.736237E-02
552,2.734999E-02
553,2.731826E-02
554,2.727659E-02
555,2.723473E-02
556,2.721214E-02
557,2.723226E-02
558,2.729285E-02
559,2.741154E-02
560,2.751684E-02
561,2.754212E-02
562,2.761067E-02
563,2.770595E-02
564,2.783963E-02
565,2.797600E-02
566,2.811182E-02
567,2.828980E-02
568,2.847923E-02
569,2.866622E-02
570,2.884490E-02
571,2.901090E-02
572,2.922308E-02
573,2.945737E-02
574,2.973926E-02
575,2.996718E-02
576,3.016260E-02
577,3.041207E-02
578,3.065515E-02
579,3.088695E-02
580,3.116671E-02
581,3.145912E-02
582,3.177271E-02
583,3.204907E-02
584,3.229389E-02
585,3.260512E-02
586,3.289862E-02
587,3.313539E-02
588,3.348586E-02
589,3.387791E-02
590,3.408317E-02
591,3.432039E-02
592,3.461398E-02
593,3.499409E-02
594,3.538478E-02
595,3.571834E-02
596,3.597948E-02
597,3.619254E-02
598,3.642038E-02
599,3.670200E-02
600,3.708859E-02
601,3.730379E-02
602,3.747224E-02
603,3.767241E-02
604,3.794177E-02
605,3.827111E-02
606,3.840603E-02
607,3.855974E-02
608,3.881812E-02
609,3.900726E-02
610,3.916796E-02
611,3.931550E-02
612,3.944162E-02
613,3.953569E-02
614,3.955621E-02
615,3.960259E-02
616,3.981512E-02
617,3.985861E-02
618,3.979236E-02
619,3.973362E-02
620,3.973580E-02
621,3.984198E-02
622,3.981136E-02
623,3.972808E-02
624,3.961135E-02
625,3.948141E-02
626,3.934393E-02
627,3.911437E-02
628,3.894150E-02
629,3.890535E-02
630,3.879198E-02
631,3.861592E-02
632,3.825597E-02
633,3.803975E-02
634,3.796705E-02
635,3.762200E-02
636,3.727840E-02
637,3.702308E-02
638,3.678696E-02
639,3.654641E-02
640,3.615129E-02
641,3.584260E-02
642,3.562919E-02
643,3.523311E-02
644,3.482940E-02
645,3.449943E-02
646,3.420137E-02
647,3.391919E-02
648,3.352466E-02
649,3.312902E-02
650,3.273799E-02
651,3.228384E-02
652,3.184236E-02
653,3.150120E-02
654,3.109512E-02
655,3.064813E-02
656,3.020205E-02
657,2.975017E-02
658,2.928765E-02
659,2.890537E-02
660,2.852262E-02
661,2.803382E-02
662,2.758627E-02
663,2.717121E-02
664,2.672349E-02
665,2.627664E-02
666,2.583035E-02
667,2.539836E-02
668,2.496835E-02
669,2.453009E-02
670,2.403214E-02
671,2.347825E-02
672,2.321597E-02
673,2.289309E-02
674,2.242996E-02
675,2.199210E-02
676,2.157732E-02
677,2.124221E-02
678,2.088017E-02
679,2.050011E-02
680,2.012966E-02
681,1.976494E-02
682,1.941665E-02
683,1.909353E-02
684,1.878176E-02
685,1.848701E-02
686,1.822625E-02
687,1.799290E-02
688,1.779349E-02
689,1.760007E-02
690,1.741174E-02
691,1.727263E-02
692,1.714478E-02
693,1.699100E-02
694,1.688716E-02
695,1.682197E-02
696,1.675117E-02
697,1.669439E-02
698,1.666254E-02
699,1.672986E-02
700,1.682366E-02
701,1.689315E-02
702,1.703668E-02
703,1.724048E-02
704,1.748022E-02
705,1.775684E-02
706,1.810511E-02
707,1.845868E-02
708,1.882673E-02
709,1.928237E-02
710,1.976589E-02
711,2.026847E-02
712,2.080974E-02
713,2.139634E-02
714,2.205208E-02
715,2.267162E-02
716,2.329415E-02
717,2.395666E-02
718,2.466271E-02
719,2.540055E-02
720,2.622655E-02
721,2.702734E-02
722,2.780549E-02
723,2.883284E-02
724,2.989392E-02
725,3.098578E-02
726,3.230692E-02
727,3.369756E-02
728,3.511186E-02
729,3.661253E-02
730,3.815384E-02
731,3.927695E-02
