MATLAB归一化系数k: 5.039520677078

波长(nm)	反射率	S(D65)	phi	x	y	z	phi*x	phi*y	phi*z
380	0.027489	0.034100	0.000937	0.001400	0.000000	0.006500	0.000001	0.000000	0.000006
385	0.024216	0.036300	0.000879	0.002200	0.000100	0.010500	0.000002	0.000000	0.000009
390	0.063902	0.038200	0.002441	0.004200	0.000100	0.020100	0.000010	0.000000	0.000049
395	0.080798	0.040300	0.003256	0.007600	0.000200	0.036200	0.000025	0.000001	0.000118
400	0.106511	0.042500	0.004527	0.014300	0.000400	0.067900	0.000065	0.000002	0.000307
405	0.114109	0.044600	0.005089	0.023200	0.000600	0.110200	0.000118	0.000003	0.000561
410	0.146671	0.051800	0.007598	0.043500	0.001200	0.207400	0.000330	0.000009	0.001576
415	0.174419	0.058900	0.010273	0.077600	0.002200	0.371300	0.000797	0.000023	0.003814
420	0.192886	0.065900	0.012711	0.134400	0.004000	0.645600	0.001708	0.000051	0.008206
425	0.259869	0.071600	0.018607	0.214800	0.007300	1.039100	0.003997	0.000136	0.019334
430	0.272624	0.077400	0.021101	0.283900	0.011600	1.385600	0.005991	0.000245	0.029238
435	0.271088	0.083000	0.022500	0.328500	0.016800	1.623000	0.007391	0.000378	0.036518
440	0.323443	0.085300	0.027590	0.348300	0.023000	1.747100	0.009609	0.000635	0.048202
445	0.343844	0.087700	0.030155	0.348100	0.029800	1.782600	0.010497	0.000899	0.053755
450	0.362752	0.090000	0.032648	0.336200	0.038000	1.772100	0.010976	0.001241	0.057855
455	0.382038	0.093900	0.035873	0.318700	0.048000	1.744100	0.011433	0.001722	0.062567
460	0.407923	0.097800	0.039895	0.290800	0.060000	1.669200	0.011601	0.002394	0.066593
465	0.419106	0.101700	0.042623	0.251100	0.073900	1.528100	0.010703	0.003150	0.065132
470	0.416343	0.102700	0.042758	0.195400	0.091000	1.287600	0.008355	0.003891	0.055056
475	0.418176	0.103700	0.043365	0.142100	0.112600	1.041900	0.006162	0.004883	0.045182
480	0.417023	0.104800	0.043704	0.095600	0.139000	0.813000	0.004178	0.006075	0.035531
485	0.402091	0.105000	0.042220	0.058000	0.169300	0.616200	0.002449	0.007148	0.026016
490	0.395012	0.105200	0.041555	0.032000	0.208000	0.465200	0.001330	0.008643	0.019332
495	0.370511	0.105400	0.039052	0.014700	0.258600	0.353300	0.000574	0.010099	0.013797
500	0.359018	1.006600	0.361388	0.004900	0.323000	0.272000	0.001771	0.116728	0.098298
505	0.327754	1.007900	0.330344	0.002400	0.407300	0.212300	0.000793	0.134549	0.070132
510	0.292256	1.009300	0.294974	0.009300	0.503000	0.158200	0.002743	0.148372	0.046665
515	0.256281	1.009300	0.258664	0.029100	0.608200	0.111700	0.007527	0.157320	0.028893
520	0.224331	1.009500	0.226462	0.063300	0.710000	0.078200	0.014335	0.160788	0.017709
525	0.194472	1.009600	0.196339	0.109600	0.793200	0.057300	0.021519	0.155736	0.011250
