wavelength,A,D65,D50
380.00000000,9.79510000,49.97550000,24.48800000
381.00000000,10.00961498,51.29180484,25.53354179
382.00000000,10.22730398,52.04207845,26.24084239
383.00000000,10.44818548,52.36782965,26.69447209
384.00000000,10.67227799,52.41056723,26.97900119
385.00000000,10.89960000,52.31180000,27.17900000
386.00000000,11.13017001,52.21303677,27.37903881
387.00000000,11.36400652,52.25578635,27.66368791
388.00000000,11.60112802,52.58155755,28.11751761
389.00000000,11.84155302,53.33185916,28.82509821
390.00000000,12.08530000,54.64820000,29.87100000
391.00000000,12.33238577,56.62431446,31.31142298
392.00000000,12.58282034,59.16283933,33.08908597
393.00000000,12.83661203,62.11863696,35.11833746
394.00000000,13.09376914,65.34656973,37.31352597
395.00000000,13.35430000,68.70150000,39.58900000
396.00000000,13.61821410,72.04191897,41.86018925
397.00000000,13.88552571,75.24083313,44.04684821
398.00000000,14.15625026,78.17487781,46.06981254
399.00000000,14.43040321,80.72068832,47.84991791
400.00000000,14.70800000,82.75490000,49.30800000
401.00000000,14.98905462,84.20363766,50.39619600
402.00000000,15.27357522,85.19098416,51.19184919
403.00000000,15.56156851,85.89051181,51.80360438
404.00000000,15.85304121,86.47579298,52.34010638
405.00000000,16.14800000,87.12040000,52.91000000
406.00000000,16.44645144,87.95132637,53.59353075
407.00000000,16.74840142,88.90925025,54.35734703
408.00000000,17.05385568,89.88827094,55.13969793
409.00000000,17.36281996,90.78248775,55.87883255
410.00000000,17.67530000,91.48600000,56.51300000
411.00000000,17.99130204,91.92508644,56.99904898
412.00000000,18.31083432,92.15474365,57.36822668
413.00000000,18.63390558,92.26214763,57.67037989
414.00000000,18.96052456,92.33447441,57.95535540
415.00000000,19.29070000,92.45890000,58.27300000
416.00000000,19.62443880,92.69474546,58.65666531
417.00000000,19.96174051,92.98991197,59.07372223
418.00000000,20.30260281,93.26444575,59.47504650
419.00000000,20.64702341,93.43839302,59.81151385
420.00000000,20.99500000,93.43180000,60.03400000
421.00000000,21.34653154,93.18203013,60.10304978
422.00000000,21.70162204,92.69571569,60.01788438
423.00000000,22.06027677,91.99680619,59.78739409
424.00000000,22.42250100,91.10925113,59.42046920
425.00000000,22.78830000,90.05700000,58.92600000
426.00000000,23.15767743,88.89215243,58.33660758
427.00000000,23.53063052,87.77940847,57.77983625
428.00000000,23.90715489,86.91161829,57.40696113
429.00000000,24.28724618,86.48163208,57.36925734
430.00000000,24.67090000,86.68230000,57.81800000
431.00000000,25.05811234,87.64149937,58.85380791
432.00000000,25.44888068,89.22721604,60.37467462
433.00000000,25.84320285,91.24246304,62.22793737
434.00000000,26.24107667,93.49025335,64.26093342
435.00000000,26.64250000,95.77360000,66.32100000
436.00000000,27.04746999,97.92780291,68.28060080
437.00000000,27.45598115,99.91730976,70.11270528
438.00000000,27.86802732,101.73885516,71.81540937
439.00000000,28.28360232,103.38917370,73.38680897
440.00000000,28.70270000,104.86500000,74.82500000
441.00000000,29.12531409,106.17445699,76.13675690
442.00000000,29.55143791,107.37122090,77.36356825
443.00000000,29.98106469,108.52035633,78.55560114
444.00000000,30.41418764,109.68692784,79.76302269
445.00000000,30.85080000,110.93600000,81.03600000
446.00000000,31.29089446,112.30313234,82.40155560
447.00000000,31.73446161,113.70586422,83.79413373
448.00000000,32.18149154,115.03222992,85.12503407
449.00000000,32.63197431,116.17026375,86.30555627
450.00000000,33.08590000,117.00800000,87.24700000
451.00000000,33.54325848,117.47056564,87.88999669
452.00000000,34.00403884,117.63145822,88.29250482
453.00000000,34.46822996,117.60126800,88.54181459
454.00000000,34.93582072,117.49058518,88.72521624
455.00000000,35.40680000,117.41000000,88.93000000
456.00000000,35.88115641,117.44196511,89.22171362
457.00000000,36.35887742,117.55638288,89.57893500
458.00000000,36.83995023,117.69501809,89.95849957
459.00000000,37.32436202,117.79963554,90.31724276
460.00000000,37.81210000,117.81200000,90.61200000
461.00000000,38.30315108,117.68894991,90.81060482
462.00000000,38.79750107,117.44761824,90.92488318
463.00000000,39.29513553,117.12021162,90.97765913
464.00000000,39.79603999,116.73893667,90.99175672
465.00000000,40.30020000,116.33600000,90.99000000
466.00000000,40.80760088,115.94150725,90.99381908
467.00000000,41.31822708,115.57716014,91.01906827
468.00000000,41.83206284,115.26255941,91.08020792
469.00000000,42.34909241,115.01730578,91.19169837
470.00000000,42.86930000,114.86100000,91.36800000
471.00000000,43.39266941,114.80758109,91.61965484
472.00000000,43.91918260,114.84834119,91.94153174
473.00000000,44.44882109,114.96891075,92.32458121
474.00000000,44.98156638,115.15492021,92.75975379
475.00000000,45.51740000,115.39200000,93.23800000
476.00000000,46.05630388,115.65844041,93.74347355
477.00000000,46.59826171,115.90317110,94.23314079
478.00000000,47.14325760,116.06778159,94.65717126
479.00000000,47.69127566,116.09386138,94.96573448
480.00000000,48.24230000,115.92300000,95.10900000
481.00000000,48.79631346,115.51516129,95.05261097
482.00000000,49.35329375,114.90380642,94.82410511
483.00000000,49.91321732,114.14077091,94.46649377
484.00000000,50.47606059,113.27789026,94.02278828
485.00000000,51.04180000,112.36700000,93.53600000
486.00000000,51.61041268,111.45917045,93.04915456
487.00000000,52.18187847,110.60241124,92.60533476
488.00000000,52.75617793,109.84396679,92.24763767
489.00000000,53.33329159,109.23108157,92.01916039
490.00000000,53.91320000,108.81100000,91.96300000
491.00000000,54.49588303,108.61357291,92.10679479
492.00000000,55.08131795,108.59907664,92.41634786
493.00000000,55.66948135,108.71039392,92.84200354
494.00000000,56.26034983,108.89040746,93.33410615
495.00000000,56.85390000,109.08200000,93.84300000
496.00000000,57.45010879,109.23716991,94.32561030
497.00000000,58.04895452,109.34437820,94.76518580
498.00000000,58.65041586,109.40120153,95.15155616
499.00000000,59.25447147,109.40521658,95.47455101
500.00000000,59.86110000,109.35400000,95.72400000
501.00000000,60.47027941,109.24827546,95.89498802
502.00000000,61.08198476,109.10135457,96.00362093
503.00000000,61.69619041,108.92969596,96.07125982
504.00000000,62.31287070,108.74975823,96.11926581
505.00000000,62.93200000,108.57800000,96.16900000
506.00000000,63.55355278,108.42595226,96.23719763
507.00000000,64.17750404,108.28543551,96.32209050
508.00000000,64.80382891,108.14334263,96.41728455
509.00000000,65.43250252,107.98656650,96.51638574
510.00000000,66.06350000,107.80200000,96.61300000
511.00000000,66.69679667,107.57887551,96.70102148
512.00000000,67.33236868,107.31578340,96.77549709
513.00000000,67.97019234,107.01365353,96.83176197
514.00000000,68.61024400,106.67341578,96.86515123
515.00000000,69.25250000,106.29600000,96.87100000
516.00000000,69.89693573,105.88958570,96.85108447
517.00000000,70.54352286,105.49135090,96.83294513
518.00000000,71.19223212,105.14572325,96.85056356
519.00000000,71.84303426,104.89713040,96.93792133
520.00000000,72.49590000,104.79000000,97.12900000
521.00000000,73.15080121,104.85522169,97.44805665
522.00000000,73.80771429,105.06953300,97.88045038
523.00000000,74.46661677,105.39613348,98.40181578
524.00000000,75.12748616,105.79822263,98.98778745
525.00000000,75.79030000,106.23900000,99.61400000
526.00000000,76.45503462,106.68129556,100.25291293
527.00000000,77.12166157,107.08646109,100.86428536
528.00000000,77.79015121,107.41547885,101.40470133
529.00000000,78.46047390,107.62933107,101.83074487
530.00000000,79.13260000,107.68900000,102.09900000
531.00000000,79.80650031,107.56937209,102.18103564
532.00000000,80.48214743,107.30095063,102.10836018
533.00000000,81.15951439,106.92814313,101.92746691
534.00000000,81.83857424,106.49535709,101.68484909
535.00000000,82.51930000,106.04700000,101.42700000
536.00000000,83.20166493,105.62171208,101.19416052
537.00000000,83.88564311,105.23506438,101.00156191
538.00000000,84.57120882,104.89686063,100.85818304
539.00000000,85.25833636,104.61690459,100.77300278
540.00000000,85.94700000,104.40500000,100.75500000
541.00000000,86.63717356,104.26707558,100.80954629
542.00000000,87.32882893,104.19355986,100.92758418
543.00000000,88.02193751,104.17100635,101.09644893
544.00000000,88.71647073,104.18596857,101.30347578
