Sample Name,Original XYZ (X),Original XYZ (Y),Original XYZ (Z),New XYZ (X),New XYZ (Y),New XYZ (Z),XYZ diff (X),XYZ diff (Y),XYZ diff (Z),XYZ % diff (X),XYZ % diff (Y),XYZ % diff (Z),Original xy (x),Original xy (y),New xy (x),New xy (y),xy diff (x),xy diff (y),xy % diff (x),xy % diff (y),Original sRGB (R),Original sRGB (G),Original sRGB (B),New sRGB (R),New sRGB (G),New sRGB (B),sRGB diff (R),sRGB diff (G),sRGB diff (B),sRGB % diff (R),sRGB % diff (G),sRGB % diff (B),Original Lab (L*),Original Lab (a*),Original Lab (b*),New Lab (L*),New Lab (a*),New Lab (b*),Lab diff (L*),Lab diff (a*),Lab diff (b*),CIE76 ΔE,Original Hex,New Hex
r1s1,3.232394,3.407982,3.758430,3.230096,3.407893,3.747902,0.002297,0.000089,0.010528,0.071075,0.002610,0.280109,0.310843,0.327728,0.311008,0.328127,0.000165,0.000399,0.053179,0.121729,0.201652,0.203381,0.204658,0.201587,0.203432,0.204306,0.000066,0.000051,0.000352,0.032485,0.025129,0.171984,21.608882,-0.113362,-0.276758,21.608555,-0.150340,-0.216463,0.000327,0.036978,0.060295,0.070731,#333334,#333334
r1s2,8.733188,9.244105,10.260686,8.727752,9.243895,10.235778,0.005436,0.000211,0.024908,0.062244,0.002278,0.242752,0.309271,0.327364,0.309413,0.327711,0.000142,0.000347,0.046010,0.106040,0.331378,0.337227,0.339708,0.331290,0.337295,0.339245,0.000087,0.000067,0.000463,0.026380,0.019988,0.136376,36.450096,-0.455983,-0.581522,36.449697,-0.501087,-0.508504,0.000398,0.045105,0.073018,0.085826,#545556,#545656
r1s3,18.317710,19.320231,21.027285,18.308235,19.319845,20.984131,0.009475,0.000386,0.043153,0.051724,0.001996,0.205225,0.312241,0.329330,0.312362,0.329622,0.000121,0.000291,0.038678,0.088450,0.475166,0.477330,0.476634,0.475067,0.477406,0.476106,0.000099,0.000076,0.000529,0.020837,0.015993,0.110968,51.059775,-0.239403,0.016788,51.059329,-0.287283,0.095156,0.000446,0.047880,0.078367,0.091838,#797979,#797979
r1s4,34.556773,36.645748,40.088670,34.542461,36.645116,40.024198,0.014312,0.000633,0.064473,0.041416,0.001727,0.160825,0.310508,0.329278,0.310601,0.329508,0.000093,0.000229,0.029966,0.069683,0.631570,0.641552,0.640773,0.631464,0.641630,0.640231,0.000106,0.000079,0.000542,0.016843,0.012257,0.084598,67.010403,-0.940402,-0.224046,67.009925,-0.987615,-0.147984,0.000478,0.047213,0.076062,0.089525,#A1A3A3,#A1A3A3
r1s5,53.694906,56.893819,62.119130,53.677729,56.892957,62.043211,0.017177,0.000862,0.075920,0.031989,0.001516,0.122216,0.310900,0.329422,0.310970,0.329597,0.000070,0.000174,0.022426,0.052916,0.770941,0.781378,0.779977,0.770838,0.781450,0.779483,0.000102,0.000072,0.000494,0.013242,0.009246,0.063384,80.119835,-0.975225,-0.152733,80.119350,-1.017211,-0.085967,0.000486,0.041986,0.066766,0.078872,#C4C7C6,#C4C7C6
r1s6,83.601863,88.467797,93.733026,83.582917,88.466628,93.652388,0.018946,0.001170,0.080639,0.022663,0.001322,0.086030,0.314526,0.332833,0.314574,0.332954,0.000048,0.000122,0.015249,0.036598,0.946187,0.949225,0.934227,0.946095,0.949286,0.933813,0.000092,0.000060,0.000414,0.009696,0.006360,0.044321,95.357565,-0.922951,1.738713,95.357075,-0.957029,1.792442,0.000491,0.034077,0.053729,0.063626,#F1F2EE,#F1F2EE
r2s1,14.809242,20.137555,39.272467,14.798904,20.137144,39.225241,0.010338,0.000411,0.047226,0.069808,0.002041,0.120251,0.199534,0.271325,0.199550,0.271532,0.000017,0.000207,0.008312,0.076131,0.000000,0.537643,0.651714,0.000000,0.537714,0.651326,0.000000,0.000072,0.000388,0.000000,0.013354,0.059604,51.992378,-24.019473,-25.137678,51.991916,-24.080099,-25.081387,0.000463,0.060627,0.056291,0.082731,#0089A6,#0089A6
r2s2,28.515887,19.020863,30.623368,28.500939,19.019852,30.561007,0.014947,0.001011,0.062360,0.052417,0.005315,0.203637,0.364839,0.243358,0.365014,0.243589,0.000175,0.000231,0.047833,0.094983,0.721359,0.337523,0.584514,0.721252,0.337698,0.583924,0.000107,0.000175,0.000590,0.014785,0.051959,0.100921,50.711606,47.173438,-16.017093,50.710424,47.120038,-15.930124,0.001182,0.053400,0.086969,0.102062,#B75695,#B75694
r2s3,55.058138,58.436892,9.503537,55.053748,58.436254,9.490073,0.004390,0.000638,0.013464,0.007973,0.001092,0.141675,0.447632,0.475102,0.447664,0.475168,0.000032,0.000066,0.007062,0.013945,0.925363,0.777656,0.111543,0.925331,0.777671,0.110704,0.000032,0.000015,0.000839,0.003438,0.001967,0.752103,80.981082,-1.218711,78.492127,80.980729,-1.228267,78.533435,0.000353,0.009556,0.041308,0.042400,#EBC61C,#EBC61C
r2s4,19.577782,12.462995,5.829791,19.573215,12.462420,5.814531,0.004567,0.000575,0.015261,0.023326,0.004617,0.261772,0.516966,0.329094,0.517124,0.329257,0.000158,0.000162,0.030566,0.049285,0.675427,0.238811,0.240358,0.675381,0.238882,0.239933,0.000046,0.000071,0.000425,0.006866,0.029885,0.177014,41.942710,45.534419,24.520383,41.941818,45.515301,24.584678,0.000892,0.019117,0.064295,0.067083,#AC3C3D,#AC3C3D
