Sample Name,XYZ diff (X),XYZ diff (Y),XYZ diff (Z),XYZ % diff (X),XYZ % diff (Y),XYZ % diff (Z),xy diff (x),xy diff (y),xy % diff (x),xy % diff (y),sRGB diff (R),sRGB diff (G),sRGB diff (B),sRGB % diff (R),sRGB % diff (G),sRGB % diff (B),Lab diff (L*),Lab diff (a*),Lab diff (b*),CIE76 ΔE,Original Hex,New Hex
r1s1,0.002297,0.000089,0.010528,0.071075,0.002610,0.280109,0.000165,0.000399,0.053179,0.121729,0.000066,0.000051,0.000352,0.032485,0.025129,0.171984,0.000327,0.036978,0.060295,0.070731,#333334,#333334
r1s2,0.005436,0.000211,0.024908,0.062244,0.002278,0.242752,0.000142,0.000347,0.046010,0.106040,0.000087,0.000067,0.000463,0.026380,0.019988,0.136376,0.000398,0.045105,0.073018,0.085826,#545556,#545656
r1s3,0.009475,0.000386,0.043153,0.051724,0.001996,0.205225,0.000121,0.000291,0.038678,0.088450,0.000099,0.000076,0.000529,0.020837,0.015993,0.110968,0.000446,0.047880,0.078367,0.091838,#797979,#797979
r1s4,0.014312,0.000633,0.064473,0.041416,0.001727,0.160825,0.000093,0.000229,0.029966,0.069683,0.000106,0.000079,0.000542,0.016843,0.012257,0.084598,0.000478,0.047213,0.076062,0.089525,#A1A3A3,#A1A3A3
r1s5,0.017177,0.000862,0.075920,0.031989,0.001516,0.122216,0.000070,0.000174,0.022426,0.052916,0.000102,0.000072,0.000494,0.013242,0.009246,0.063384,0.000486,0.041986,0.066766,0.078872,#C4C7C6,#C4C7C6
r1s6,0.018946,0.001170,0.080639,0.022663,0.001322,0.086030,0.000048,0.000122,0.015249,0.036598,0.000092,0.000060,0.000414,0.009696,0.006360,0.044321,0.000491,0.034077,0.053729,0.063626,#F1F2EE,#F1F2EE
r2s1,0.010338,0.000411,0.047226,0.069808,0.002041,0.120251,0.000017,0.000207,0.008312,0.076131,0.000000,0.000072,0.000388,0.000000,0.013354,0.059604,0.000463,0.060627,0.056291,0.082731,#0089A6,#0089A6
r2s2,0.014947,0.001011,0.062360,0.052417,0.005315,0.203637,0.000175,0.000231,0.047833,0.094983,0.000107,0.000175,0.000590,0.014785,0.051959,0.100921,0.001182,0.053400,0.086969,0.102062,#B75695,#B75694
r2s3,0.004390,0.000638,0.013464,0.007973,0.001092,0.141675,0.000032,0.000066,0.007062,0.013945,0.000032,0.000015,0.000839,0.003438,0.001967,0.752103,0.000353,0.009556,0.041308,0.042400,#EBC61C,#EBC61C
r2s4,0.004567,0.000575,0.015261,0.023326,0.004617,0.261772,0.000158,0.000162,0.030566,0.049285,0.000046,0.000071,0.000425,0.006866,0.029885,0.177014,0.000892,0.019117,0.064295,0.067083,#AC3C3D,#AC3C3D
r2s5,0.004287,0.000227,0.018775,0.030309,0.001002,0.194188,0.000060,0.000240,0.019827,0.049148,0.000093,0.000027,0.000439,0.033729,0.004611,0.156513,0.000236,0.025753,0.057387,0.062901,#469347,#469347
r2s6,0.010974,0.000487,0.049407,0.126303,0.007147,0.163260,0.000013,0.000188,0.006701,0.126016,0.000377,0.000181,0.000459,0.215428,0.068686,0.077287,0.001129,0.090001,0.069122,0.113487,#2C4397,#2C4397
r3s1,0.005817,0.000656,0.020538,0.013115,0.001580,0.242301,0.000073,0.000119,0.015523,0.027061,0.000039,0.000029,0.000751,0.004444,0.004572,0.398573,0.000456,0.014991,0.068243,0.069872,#E1A030,#E1A02F
r3s2,0.005343,0.000454,0.020975,0.016180,0.001045,0.181388,0.000053,0.000145,0.014246,0.029385,0.000050,0.000023,0.000552,0.008096,0.003099,0.218361,0.000306,0.017640,0.056773,0.059451,#9EBB40,#9EBB40
r3s3,0.011242,0.000674,0.048125,0.127750,0.010095,0.322967,0.000203,0.000413,0.070023,0.187911,0.000183,0.000202,0.000687,0.050566,0.084687,0.162740,0.001584,0.089538,0.108345,0.140564,#5C3C6B,#5C3C6B
