Probenname,Original XYZ (X),Original XYZ (Y),Original XYZ (Z),Verkuerzt XYZ (X),Verkuerzt XYZ (Y),Verkuerzt XYZ (Z),Extrapoliert XYZ (X),Extrapoliert XYZ (Y),Extrapoliert XYZ (Z),ΔE Verkuerzt vs Original,ΔE Extrapoliert vs Original,Verbesserung durch Extrapolation,Original Hex,Verkuerzt Hex,Extrapoliert Hex
r1s1,3.232394,3.407982,3.758430,3.230096,3.407893,3.747902,3.232391,3.407982,3.758418,0.070731,0.000075,0.070656,#333334,#333334,#333334
r1s2,8.733188,9.244105,10.260686,8.727752,9.243895,10.235778,8.733328,9.244109,10.261347,0.085826,0.002270,0.083557,#545556,#545656,#545556
r1s3,18.317710,19.320231,21.027285,18.308235,19.319845,20.984131,18.318184,19.320244,21.029524,0.091838,0.004743,0.087094,#797979,#797979,#797979
r1s4,34.556773,36.645748,40.088670,34.542461,36.645116,40.024198,34.557182,36.645760,40.090606,0.089525,0.002670,0.086855,#A1A3A3,#A1A3A3,#A1A3A3
r1s5,53.694906,56.893819,62.119130,53.677729,56.892957,62.043211,53.693824,56.893788,62.114025,0.078872,0.005260,0.073612,#C4C7C6,#C4C7C6,#C4C7C6
r1s6,83.601863,88.467797,93.733026,83.582917,88.466628,93.652388,83.599165,88.467720,93.720283,0.063626,0.009927,0.053700,#F1F2EE,#F1F2EE,#F1F2EE
r2s1,14.809242,20.137555,39.272467,14.798904,20.137144,39.225241,14.809390,20.137551,39.273279,0.082731,0.001347,0.081384,#0089A6,#0089A6,#0089A6
r2s2,28.515887,19.020863,30.623368,28.500939,19.019852,30.561007,28.516232,19.020874,30.624996,0.102062,0.002644,0.099418,#B75695,#B75694,#B75695
r2s3,55.058138,58.436892,9.503537,55.053748,58.436254,9.490073,55.058111,58.436891,9.503414,0.042400,0.000389,0.042011,#EBC61C,#EBC61C,#EBC61C
r2s4,19.577782,12.462995,5.829791,19.573215,12.462420,5.814531,19.577782,12.462995,5.829788,0.067083,0.000014,0.067070,#AC3C3D,#AC3C3D,#AC3C3D
r2s5,14.143439,22.649828,9.668694,14.139152,22.649601,9.649919,14.143480,22.649831,9.668849,0.062901,0.000527,0.062373,#469347,#469347,#469347
r2s6,8.688373,6.815623,30.262641,8.677399,6.815136,30.213235,8.688676,6.815634,30.264038,0.113487,0.003186,0.110300,#2C4397,#2C4397,#2C4397
r3s1,44.355317,41.501683,8.476260,44.349500,41.501027,8.455722,44.355379,41.501686,8.476545,0.069872,0.000969,0.068903,#E1A030,#E1A02F,#E1A030
r3s2,33.020671,43.418165,11.563595,33.015329,43.417711,11.542620,33.020766,43.418175,11.563940,0.059451,0.000981,0.058470,#9EBB40,#9EBB40,#9EBB40
r3s3,8.800400,6.678886,14.900832,8.789158,6.678212,14.852707,8.800891,6.678902,14.903119,0.140564,0.006592,0.133971,#5C3C6B,#5C3C6B,#5C3C6B
r3s4,27.806523,19.034268,14.159094,27.797173,19.033589,14.120750,27.807108,19.034284,14.161861,0.096307,0.006940,0.089367,#C15663,#C15663,#C15663
r3s5,13.721768,11.945508,39.039313,13.708646,11.944806,38.981940,13.722042,11.945525,39.040480,0.103903,0.002130,0.101773,#485CA8,#485CA8,#485CA8
r3s6,35.693090,28.633434,6.576387,35.687778,28.632865,6.557210,35.693158,28.633436,6.576713,0.077096,0.001312,0.075784,#D77931,#D77931,#D77931
r4s1,31.080926,42.563453,44.820477,31.067575,42.562888,44.759981,31.081420,42.563469,44.822782,0.081657,0.003092,0.078565,#64BEAA,#64BEAA,#64BEAA
r4s2,24.685322,23.426128,43.848711,24.669647,23.425257,43.780631,24.685227,23.426126,43.848256,0.098373,0.000646,0.097728,#8180AF,#8180AF,#8180AF
r4s3,11.148607,13.851941,7.385900,11.144713,13.851736,7.368814,11.148670,13.851944,7.386175,0.068119,0.001097,0.067022,#5D6D42,#5D6D42,#5D6D42
r4s4,17.426477,18.530107,33.686501,17.414660,18.529552,33.633736,17.426813,18.530115,33.688108,0.092740,0.002780,0.089960,#5D799B,#5D799A,#5D799B
r4s5,35.821776,33.498545,24.288892,35.810325,33.497737,24.241605,35.822349,33.498563,24.291585,0.085464,0.004833,0.080630,#BF927D,#BF927D,#BF927D
r4s6,11.269774,10.319252,7.102132,11.265469,10.319004,7.083554,11.269828,10.319255,7.102366,0.075475,0.000947,0.074528,#725345,#725345,#725345
HB1 / WF1,55.346534,55.616842,41.350648,55.333510,55.615823,41.298278,55.346349,55.616837,41.349773,0.067340,0.001113,0.066227,#DEBFA0,#DEBFA0,#DEBFA0
HB2 / WF2,53.287094,53.115052,36.081182,53.277330,53.114131,36.044150,53.286690,53.115041,36.079265,0.051747,0.002642,0.049105,#DDBA95,#DDBA95,#DDBA95
HB3 / WF3,39.935327,37.964069,22.993893,39.925925,37.963191,22.958122,39.935248,37.964069,22.993496,0.066251,0.000727,0.065524,#CA9C78,#CA9C77,#CA9C78
HB4 / WF4,41.750261,39.750353,22.348820,41.742191,39.749490,22.319660,41.750095,39.750348,22.348036,0.054808,0.001458,0.053350,#CF9F75,#CF9F75,#CF9F75
HB4 / WF4.1,31.075137,30.519905,17.198141,31.068563,30.519206,17.174330,31.075141,30.519904,17.198175,0.053501,0.000075,0.053426,#B38F67,#B38F67,#B38F67
HB5 / WF5,35.643567,34.853910,19.282860,35.637510,34.853211,19.261704,35.643379,34.853905,19.281956,0.044031,0.001856,0.042175,#BF986C,#BF986C,#BF986C
HB6 / WF6,29.215744,26.558102,15.077522,29.209350,26.557382,15.054936,29.215555,26.558097,15.076628,0.055002,0.002155,0.052846,#B58161,#B58161,#B58161
HB7 / WF7,34.359322,32.218385,16.809428,34.353646,32.217657,16.790652,34.359117,32.218380,16.808458,0.042494,0.002168,0.040326,#C18F65,#C18F65,#C18F65
HB8 / WF8,13.510955,13.102133,9.287112,13.506128,13.101735,9.268000,13.510936,13.102134,9.287008,0.065890,0.000352,0.065538,#78604F,#78604F,#78604F
HB9 / WF9,14.223796,13.451068,8.021167,14.220144,13.450687,8.007840,14.223784,13.451068,8.021107,0.049818,0.000220,0.049599,#7F6048,#7F6048,#7F6048
S1,38.308572,38.328605,20.052654,38.299575,38.327936,20.015994,38.308481,38.328603,20.052217,0.073594,0.000872,0.072722,#C4A06D,#C4A06D,#C4A06D
S2,13.099819,11.480107,7.363558,13.095274,11.479791,7.344726,13.099749,11.480107,7.363198,0.073988,0.001406,0.072582,#7E5546,#7E5546,#7E5546
S3,49.013478,51.943998,49.141424,48.989142,51.942926,49.031755,49.013433,51.943997,49.141205,0.129761,0.000257,0.129505,#C2BEB1,#C2BEB0,#C2BEB1
S4,47.188484,50.088824,50.464562,47.161434,50.087701,50.341683,47.188466,50.088825,50.464469,0.144207,0.000107,0.144100,#BCBCB4,#BCBCB3,#BCBCB4
S5,43.488494,46.214954,45.459029,43.464631,46.213944,45.350900,43.488496,46.214954,45.459039,0.135581,0.000014,0.135567,#B6B5AB,#B6B5AB,#B6B5AB
WC1 / WF1,74.263402,76.661855,54.607080,74.244600,76.660680,54.527257,74.263447,76.661857,54.607276,0.084802,0.000208,0.084594,#F9DFB5,#F9DFB4,#F9DFB5
WC2 / WF2,80.201318,84.199037,79.375961,80.180573,84.197805,79.286975,80.199786,84.198994,79.368714,0.076698,0.006184,0.070514,#F4EBDB,#F4EBDB,#F4EBDB
WC3 / WF3,78.315885,82.248242,80.319767,78.295094,82.247012,80.230527,78.314177,82.248194,80.311689,0.076753,0.006875,0.069879,#F0E9DD,#F0E9DD,#F0E9DD
WC4 / WF4,62.498406,65.426917,65.147659,62.479142,65.425840,65.064074,62.497611,65.426896,65.143882,0.082777,0.003704,0.079073,#D9D2C9,#D9D2C9,#D9D2C9
WC5 / WF5,74.682380,77.015703,62.584125,74.662697,77.014508,62.500065,74.681865,77.015690,62.581673,0.082853,0.002396,0.080457,#F6E0C3,#F6E0C2,#F6E0C3
WC6 / WF6 ,78.643324,80.353121,73.916764,78.622685,80.351894,73.828260,78.642000,80.353083,73.910519,0.079320,0.005547,0.073772,#F8E4D4,#F8E4D4,#F8E4D4
WC7 / WF7,75.109830,76.887669,70.049174,75.089941,76.886467,69.964156,75.109096,76.887649,70.045697,0.078910,0.003197,0.075713,#F3DFCF,#F3DFCF,#F3DFCF
WC8 / WF8,72.570202,73.588618,63.104499,72.551021,73.587441,63.022752,72.569886,73.588610,63.102995,0.080530,0.001469,0.079062,#F4DAC4,#F4DAC4,#F4DAC4
WC9 / WF9,81.059027,84.335799,85.189998,81.038136,84.334565,85.100307,81.056924,84.335740,85.180055,0.074463,0.008167,0.066296,#F4EBE3,#F4EBE3,#F4EBE3
WC10 / WF10,75.163277,76.257619,69.934270,75.142263,76.256373,69.844103,75.162296,76.257591,69.929637,0.083709,0.004264,0.079446,#F5DECF,#F5DECF,#F5DECF
WC11 / WF11,66.498695,65.934032,60.865430,66.479648,65.932912,60.783567,66.497860,65.934010,60.861466,0.083126,0.003991,0.079136,#EBCEC3,#EBCEC2,#EBCEC3
WC12 / WF12,78.476713,80.173085,79.136312,78.450362,80.171709,79.020602,78.477210,80.173100,79.138657,0.099943,0.002010,0.097933,#F5E4DC,#F5E4DB,#F5E4DC
L1,77.299243,81.928146,85.601474,77.283229,81.927107,85.534041,77.296378,81.928065,85.587937,0.056479,0.011179,0.045300,#E9EAE4,#E9EAE4,#E9EAE4
