Probenname,XYZ Diff (X),XYZ Diff (Y),XYZ Diff (Z),XYZ % Diff (X),XYZ % Diff (Y),XYZ % Diff (Z),xy Diff (x),xy Diff (y),xy % Diff (x),xy % Diff (y),sRGB Diff (R),sRGB Diff (G),sRGB Diff (B),sRGB % Diff (R),sRGB % Diff (G),sRGB % Diff (B),Lab Diff (L*),Lab Diff (a*),Lab Diff (b*),CIE76 ΔE,Urspruengliche Hex,Neue Hex
r1s1,0.002297,0.000089,0.010528,0.07,0.00,0.28,0.000165,0.000399,0.05,0.12,0.000066,0.000051,0.000352,0.03,0.03,0.17,0.000327,0.036978,0.060295,0.070731,#333334,#333334
r1s2,0.005436,0.000211,0.024908,0.06,0.00,0.24,0.000142,0.000347,0.05,0.11,0.000087,0.000067,0.000463,0.03,0.02,0.14,0.000398,0.045105,0.073018,0.085826,#545556,#545656
r1s3,0.009475,0.000386,0.043153,0.05,0.00,0.21,0.000121,0.000291,0.04,0.09,0.000099,0.000076,0.000529,0.02,0.02,0.11,0.000446,0.047880,0.078367,0.091838,#797979,#797979
r1s4,0.014312,0.000633,0.064473,0.04,0.00,0.16,0.000093,0.000229,0.03,0.07,0.000106,0.000079,0.000542,0.02,0.01,0.08,0.000478,0.047213,0.076062,0.089525,#A1A3A3,#A1A3A3
r1s5,0.017177,0.000862,0.075920,0.03,0.00,0.12,0.000070,0.000174,0.02,0.05,0.000102,0.000072,0.000494,0.01,0.01,0.06,0.000486,0.041986,0.066766,0.078872,#C4C7C6,#C4C7C6
r1s6,0.018946,0.001170,0.080639,0.02,0.00,0.09,0.000048,0.000122,0.02,0.04,0.000092,0.000060,0.000414,0.01,0.01,0.04,0.000491,0.034077,0.053729,0.063626,#F1F2EE,#F1F2EE
r2s1,0.010338,0.000411,0.047226,0.07,0.00,0.12,0.000017,0.000207,0.01,0.08,0.000000,0.000072,0.000388,0.00,0.01,0.06,0.000463,0.060627,0.056291,0.082731,#0089A6,#0089A6
r2s2,0.014947,0.001011,0.062360,0.05,0.01,0.20,0.000175,0.000231,0.05,0.09,0.000107,0.000175,0.000590,0.01,0.05,0.10,0.001182,0.053400,0.086969,0.102062,#B75695,#B75694
r2s3,0.004390,0.000638,0.013464,0.01,0.00,0.14,0.000032,0.000066,0.01,0.01,0.000032,0.000015,0.000839,0.00,0.00,0.75,0.000353,0.009556,0.041308,0.042400,#EBC61C,#EBC61C
r2s4,0.004567,0.000575,0.015261,0.02,0.00,0.26,0.000158,0.000162,0.03,0.05,0.000046,0.000071,0.000425,0.01,0.03,0.18,0.000892,0.019117,0.064295,0.067083,#AC3C3D,#AC3C3D
r2s5,0.004287,0.000227,0.018775,0.03,0.00,0.19,0.000060,0.000240,0.02,0.05,0.000093,0.000027,0.000439,0.03,0.00,0.16,0.000236,0.025753,0.057387,0.062901,#469347,#469347
r2s6,0.010974,0.000487,0.049407,0.13,0.01,0.16,0.000013,0.000188,0.01,0.13,0.000377,0.000181,0.000459,0.22,0.07,0.08,0.001129,0.090001,0.069122,0.113487,#2C4397,#2C4397
r3s1,0.005817,0.000656,0.020538,0.01,0.00,0.24,0.000073,0.000119,0.02,0.03,0.000039,0.000029,0.000751,0.00,0.00,0.40,0.000456,0.014991,0.068243,0.069872,#E1A030,#E1A02F
r3s2,0.005343,0.000454,0.020975,0.02,0.00,0.18,0.000053,0.000145,0.01,0.03,0.000050,0.000023,0.000552,0.01,0.00,0.22,0.000306,0.017640,0.056773,0.059451,#9EBB40,#9EBB40
r3s3,0.011242,0.000674,0.048125,0.13,0.01,0.32,0.000203,0.000413,0.07,0.19,0.000183,0.000202,0.000687,0.05,0.08,0.16,0.001584,0.089538,0.108345,0.140564,#5C3C6B,#5C3C6B
