wavelength,x,y,z
380.00000000,0.00136800,0.00003900,0.00645000
381.00000000,0.00150205,0.00004283,0.00708322
382.00000000,0.00164233,0.00004691,0.00774549
383.00000000,0.00180238,0.00005159,0.00850115
384.00000000,0.00199576,0.00005718,0.00941454
385.00000000,0.00223600,0.00006400,0.01054999
386.00000000,0.00253538,0.00007234,0.01196580
387.00000000,0.00289260,0.00008221,0.01365587
388.00000000,0.00330083,0.00009351,0.01558805
389.00000000,0.00375324,0.00010614,0.01773015
390.00000000,0.00424300,0.00012000,0.02005001
391.00000000,0.00476239,0.00013498,0.02251136
392.00000000,0.00533005,0.00015149,0.02520288
393.00000000,0.00597871,0.00017021,0.02827972
394.00000000,0.00674112,0.00019182,0.03189704
395.00000000,0.00765000,0.00021700,0.03621000
396.00000000,0.00875137,0.00024691,0.04143771
397.00000000,0.01002888,0.00028124,0.04750372
398.00000000,0.01142170,0.00031852,0.05411988
399.00000000,0.01286901,0.00035727,0.06099803
400.00000000,0.01431000,0.00039600,0.06785001
401.00000000,0.01570443,0.00043371,0.07448632
402.00000000,0.01714744,0.00047302,0.08136156
403.00000000,0.01878122,0.00051788,0.08915364
404.00000000,0.02074801,0.00057222,0.09854048
405.00000000,0.02319000,0.00064000,0.11020000
406.00000000,0.02620736,0.00072456,0.12461330
407.00000000,0.02978248,0.00082550,0.14170170
408.00000000,0.03388092,0.00094116,0.16130350
409.00000000,0.03846824,0.00106988,0.18325680
410.00000000,0.04351000,0.00121000,0.20740000
411.00000000,0.04899560,0.00136209,0.23369210
412.00000000,0.05502260,0.00153075,0.26261140
413.00000000,0.06171880,0.00172037,0.29477460
414.00000000,0.06921200,0.00193532,0.33079850
415.00000000,0.07763000,0.00218000,0.37130000
416.00000000,0.08695811,0.00245480,0.41620910
417.00000000,0.09717672,0.00276400,0.46546420
418.00000000,0.10840630,0.00311780,0.51969480
419.00000000,0.12076720,0.00352640,0.57953030
420.00000000,0.13438000,0.00400000,0.64560000
421.00000000,0.14935820,0.00454624,0.71848380
